UserID,Frequency
5487372.0,1
6386322.0,1
7090132.0,1
15438696.0,1
17551341.0,1
18880159.0,1
19019803.0,1
19515882.0,1
20874461.0,1
21033096.0,1
21078125.0,1
24691627.0,1
28578076.0,1
30787429.0,1
35626984.0,1
38058846.0,1
38951171.0,1
40561514.0,1
41519781.0,1
41596109.0,1
42485388.0,1
42858263.0,1
42911831.0,1
44629928.0,1
46787051.0,3
48045893.0,1
48086249.0,1
50652724.0,1
51321454.0,1
54104257.0,1
54348099.0,1
60498895.0,1
62131700.0,1
62218986.0,1
62775472.0,1
73315103.0,1
77303429.0,1
77441114.0,1
78601488.0,1
81861754.0,1
82885382.0,1
84635316.0,1
94115087.0,1
95909359.0,1
96042246.0,1
98049819.0,1
99653640.0,1
101428813.0,1
103407579.0,1
105546083.0,1
108328072.0,2
113282137.0,1
118763512.0,1
123545568.0,1
124787944.0,1
126251210.0,1
128930864.0,1
129628680.0,1
133139771.0,1
136199496.0,2
138303191.0,1
138418838.0,1
144595380.0,1
148430772.0,1
149946725.0,1
150618111.0,1
152186327.0,1
152812171.0,1
158805096.0,1
163862538.0,2
168467963.0,1
174387985.0,2
176081290.0,1
178672671.0,2
181423154.0,1
185789961.0,1
186478529.0,1
188902985.0,1
189583155.0,3
190906174.0,1
193033489.0,3
193213839.0,1
200438486.0,2
202150622.0,1
218048781.0,2
220075111.0,2
227597810.0,1
228662131.0,2
229883964.0,1
231585555.0,1
233047263.0,1
233603393.0,1
248326024.0,1
248606587.0,1
248626141.0,1
249777926.0,2
249831776.0,1
253134186.0,1
265682901.0,1
269473881.0,2
277115591.0,1
285952883.0,1
286892710.0,2
293670056.0,1
293710779.0,2
300281420.0,1
300429074.0,1
312398924.0,2
331688309.0,1
333978731.0,1
347889518.0,1
354263529.0,1
380885546.0,1
385481756.0,1
391282188.0,1
391557895.0,1
398345302.0,1
413725603.0,1
414965557.0,1
425380635.0,1
431718684.0,2
452615539.0,2
454829072.0,4
468828312.0,1
480214676.0,4
485007946.0,1
486672623.0,1
488978008.0,1
498674302.0,1
505416380.0,1
523020082.0,1
556895929.0,1
564758271.0,1
587552613.0,1
590322512.0,1
597363395.0,1
600408792.0,1
609098157.0,1
629965451.0,1
633043456.0,1
705837259.0,1
712289478.0,1
717475172.0,1
738801134.0,1
756797485.0,1
765079081.0,1
791643146.0,1
847597489.0,1
971376415.0,1
1035918655.0,1
1127752910.0,1
1169788446.0,1
1267822722.0,2
1335613789.0,1
1338389648.0,1
1358889410.0,1
1449552085.0,1
1458967008.0,1
1516188721.0,1
1531774699.0,1
1565933497.0,1
1572894900.0,1
1701041005.0,1
1798912051.0,1
1867738674.0,1
1876479247.0,1
1881584940.0,1
1885869060.0,2
1945759753.0,1
2153020994.0,1
2196538817.0,1
2208190072.0,1
2255293753.0,2
2361073248.0,2
2361093066.0,1
2380974648.0,1
2403023857.0,1
2453656771.0,2
2556089809.0,1
2684296932.0,1
2834148008.0,1
2847518844.0,1
2856517828.0,2
2870687215.0,2
2897111353.0,1
2897847673.0,1
2943432330.0,1
2975511295.0,2
3033774385.0,1
3105147968.0,1
3197562830.0,1
3308190923.0,1
3331896981.0,1
3336921679.0,1
3705927252.0,1
3924741861.0,2
3967047372.0,2
4044833592.0,2
4809045142.0,1
