Lat,Long,Count
-34.6025,-58.3975,2564
-33.92,18.43498,2553
-33.92,151.1851,2434
-33.45,-70.667,3409
-29.865,30.98001,1763
-26.17,28.03,1813
-23.5586,-46.625,2776
-22.925,-43.225,3651
-19.915,-43.915,4101
-15.7833,-47.916,4688
-12.9699,-38.4799,5147
-12.048,-77.05,3599
-8.83828,13.23442,1544
-6.80001,39.26834,2645
-6.17441,106.8294,4171
-4.32972,15.31497,1236
-3.75001,-38.5799,4699
-1.28334,36.81665,2383
1.293033,103.8558,4661
4.596423,-74.0833,2006
5.319996,-4.04004,1693
6.443261,3.391531,1779
9.03331,38.7,505
10.78002,106.695,2182
11.99997,8.520037,1680
12.96999,77.56,1950
13.08998,80.27999,2837
13.74999,100.5166,6033
14.60415,120.9822,2747
14.65043,121.0299,2803
15.58807,32.53417,4011
16.78335,96.16667,1620
17.39998,78.47995,2372
18.53001,73.85,2316
19.01699,72.85698,1827
19.44244,-99.1309,4561
20.67001,-103.33,4209
21.03332,105.85,825
21.19998,72.84003,1190
21.51688,39.21919,2434
22.30498,114.185,2526
22.32999,91.79996,710
22.49496,88.32467,2037
22.55237,114.1221,2556
22.58039,88.32994,1958
23.03005,72.58,2074
23.04888,113.7447,1554
23.09653,109.6091,7
23.14498,113.325,1995
23.72305,90.40857,2490
24.64083,46.77274,2356
24.86999,66.99,1934
25.01277,121.465,1568
25.03583,121.5683,1654
25.78761,-80.2241,2888
26.45999,80.31999,397
26.92113,75.80998,1877
28.7041,77.1025,2040
29.56497,106.5949,1696
29.81997,-95.3399,2758
30.04996,31.24996,2612
30.58003,114.27,978
30.67,104.07,1051
31.20001,29.94999,2344
31.21645,121.4365,2119
31.55997,74.35002,2098
32.05001,118.7799,866
32.82002,-96.84,3574
33.33864,44.39386,1302
33.59997,-7.61636,1831
33.98997,-118.179,2374
34.27502,108.8949,662
34.51669,69.18326,738
34.75003,135.4601,5100
35.09505,129.01,2003
35.15499,136.9149,5469
35.32002,139.58,4519
35.67194,51.42434,2613
35.68501,139.7514,6716
37.56634,126.9997,2793
37.87501,112.545,748
39.01943,125.7546,591
39.13002,117.2,536
39.92723,32.86439,5324
39.92889,116.3882,1953
39.99997,-75.1699,3058
40.40002,-3.68335,1869
40.74997,-73.98,2832
41.10499,29.01,4668
41.38329,2.18337,3051
41.80497,123.4499,279
41.82999,-87.75,2645
43.69997,-79.42,2560
43.865,125.3399,156
45.49999,-73.5832,2994
48.86669,2.333335,2086
51.49999,-0.11672,2324
52.52181,13.40154,1943
55.75216,37.61552,2641
59.93901,30.31602,3201
